Name,Price
Dell Inspiron 3567 Intel Core i3 7th Gen 15.6-inch FHD Laptop (4GB/1TB HDD/Windows 10 Home/MS Office/Black/2.5kg),"29,573"
"Lenovo Ideapad 330 Core i3 7th gen 15.6-inch Laptop (4GB + 16 GB Optane RAM/1TB HDD/Windows 10 Home/2 GB Graphics/Onyx Black), 81DE01K3IN","35,990"
iBall Excelance OHD IPS Screen with 11.6-inch FHD Display Laptop (8th Gen Intel Atom X5-Z8350/2GB DDR3/32GB/Windows 10/Integrated Graphics) Chocolate Brown,"9,347"
"HP 14Q CS0009TU 2018 14-inch Laptop (7th Gen Core i3 7020U/4GB/1TB/DOS 2.0/Integrated Graphics), Jet Black","26,490"
"HP 15 AMD E2 15.6-inch Entry Level Laptop (4GB /1TB HDD/Windows 10 Home/Jet Black/2.04 Kgs), 15q-dy0001au","21,470"
"Acer One AO-Z422 14-inch Laptop (A4-3350B/4GB/1TB/Linux/Integrated Graphics), Black","19,089"
"iBall M500 14-inch Laptop (Intel Celeron N3350/4GB/32GB/Windows 10/Integrated Graphics), Cobalt Blue","12,990"
Dell Inspiron 3567 Intel Core i3 7th Gen 15.6-inch FHD Laptop (4GB/1TB HDD/Windows 10 Home/MS Office/Black/2.5kg),"29,573"
"Micromax Neo Pentium 6th Gen 14-inch Laptop (4GB/500GB/Windows 10/Silver/1.6kg), LPQ61407W","15,390"
"HP 14 Core i3 7th gen 14-inch Thin and Light Laptop (4GB /1TB HDD/Windows 10 Home/Smoke Gray /1.59 kg), 14q-cs0006TU","28,990"
"HP Pavilion x360 Core i3 8th Gen 14-inch Touchscreen 2-in-1 Thin and Light Laptop (4GB/256GB SSD/Windows 10/MS Office/Inking Pen/Natural Silver/1.59 kg), 14-dh0107TU","42,990"
"Lenovo Ideapad 330 Intel Core I3 7th Gen 15.6-inch HD Laptop (4GB RAM/1TB HDD/DOS/Platinum Grey/2.2Kg),81DE00GFIN","26,990"
"iBall Marvel 6 V 2.0 2017 14-inch Laptop (Intel Celeron Processor N3350/3GB/32GB/Windows 10 Home/Integrated Graphics), Metallic Grey","10,985"
"HP 15 Intel Core-i3 7th Gen (8GB DDR4/1 TB HDD/Windows 10/Integrated Graphics/2.04 kg),Full HD Laptop, (15.6-inch,Sparkling Black) 15q-ds0026tu","35,989"
"ASUS X507 ( Core i3-7th Gen /8 GB/ 1TB HDD / 15.6"" FHD/ Windows 10 ) Thin and Light X507UA- EJ274T ( Icicle Gold /1.68 kg)","31,489"
"HP 15 Intel Core i5 (8GB DDR4/1TB HDD/Win 10/MS Office/Integrated Graphics/2.04 kg), Full HD Laptop (15.6-inch, Sparkling Black) 15q-ds0029TU","43,990"
"HP 15 db0209au 15.6-inch Laptop (A4-9125/4GB/1TB/Windows 10/Integrated Graphics), Jet Black","20,999"
"HP 14-inch Core i5 8th Gen FHD Laptop (8GB/1TB HDD/Win 10/Integrated Graphics/MS Office/Natural Silver/1.43 kg), 14s-cs1000tu","47,990"
"Lenovo Ideapad 330 AMD E2 15.6-inch Laptop (4GB/500GB HDD/DOS/Onyx Black/2.2kg), 81D600BWIN","15,950"
"Lenovo V110-15AST 80TDA01GIH (AMD A6 9210@2.4 Ghz with Turbo Boost Upto 2.8 Ghz./ 4GB RAM / 1TB HDD / 15.6"" HD Display / DVD / DOS) - Black","18,399"
